..........AI : 5.736 s, Game : 1.104 s
..........AI : 4.129 s, Game : 1.305 s
Episode 033 avg. reward = -0.800, Long-term avg. reward = -0.888
..........AI : 4.416 s, Game : 1.551 s
Episode 034 avg. reward = -0.800, Long-term avg. reward = -0.887
..........AI : 4.357 s, Game : 1.459 s
Episode 035 avg. reward = -0.800, Long-term avg. reward = -0.886
..........AI : 5.997 s, Game : 2.062 s
Episode 036 avg. reward = -0.500, Long-term avg. reward = -0.883
..........AI : 5.735 s, Game : 2.027 s
Episode 037 avg. reward = -0.700, Long-term avg. reward = -0.881
..........AI : 5.560 s, Game : 1.985 s
Episode 038 avg. reward = -0.700, Long-term avg. reward = -0.879
..........AI : 2.963 s, Game : 0.810 s
Episode 039 avg. reward = -1.000, Long-term avg. reward = -0.880
..........AI : 5.521 s, Game : 1.997 s
Episode 040 avg. reward = -0.800, Long-term avg. reward = -0.879
..........AI : 4.690 s, Game : 1.605 s
Episode 041 avg. reward = -0.800, Long-term avg. reward = -0.879
..........AI : 5.391 s, Game : 1.830 s
Episode 042 avg. reward = -0.500, Long-term avg. reward = -0.875
..........AI : 3.325 s, Game : 0.992 s
Episode 043 avg. reward = -0.900, Long-term avg. reward = -0.875
..........AI : 6.102 s, Game : 2.164 s
Episode 044 avg. reward = -0.600, Long-term avg. reward = -0.872
..........AI : 5.672 s, Game : 1.789 s
Episode 045 avg. reward = -0.400, Long-term avg. reward = -0.868
..........AI : 5.801 s, Game : 1.800 s
Episode 046 avg. reward = -0.500, Long-term avg. reward = -0.864
..........AI : 3.212 s, Game : 1.032 s
Episode 047 avg. reward = -1.000, Long-term avg. reward = -0.865
..........AI : 4.798 s, Game : 1.495 s
Episode 048 avg. reward = -0.600, Long-term avg. reward = -0.863
..........AI : 3.677 s, Game : 1.164 s
Episode 049 avg. reward = -0.900, Long-term avg. reward = -0.863
..........AI : 3.359 s, Game : 0.913 s
Episode 050 avg. reward = -0.800, Long-term avg. reward = -0.862
..........AI : 3.726 s, Game : 1.149 s
Episode 051 avg. reward = -0.900, Long-term avg. reward = -0.863
..........AI : 3.873 s, Game : 1.391 s
Episode 052 avg. reward = -0.900, Long-term avg. reward = -0.863
..........AI : 4.692 s, Game : 1.586 s
Episode 053 avg. reward = -0.700, Long-term avg. reward = -0.861
..........AI : 4.021 s, Game : 1.265 s
Episode 054 avg. reward = -0.800, Long-term avg. reward = -0.861
..........AI : 5.242 s, Game : 1.806 s
Episode 055 avg. reward = -0.700, Long-term avg. reward = -0.859
..........AI : 4.230 s, Game : 1.225 s
Episode 056 avg. reward = -0.700, Long-term avg. reward = -0.858
..........AI : 6.145 s, Game : 2.223 s
Episode 057 avg. reward = -0.700, Long-term avg. reward = -0.856
..........AI : 7.648 s, Game : 2.718 s
Episode 058 avg. reward = -0.400, Long-term avg. reward = -0.852
..........AI : 6.065 s, Game : 2.148 s
Episode 059 avg. reward = -0.600, Long-term avg. reward = -0.849
..........AI : 4.497 s, Game : 1.464 s
Episode 060 avg. reward = -0.700, Long-term avg. reward = -0.848
..........AI : 4.238 s, Game : 1.337 s
Episode 061 avg. reward = -0.700, Long-term avg. reward = -0.846
..........AI : 3.604 s, Game : 1.091 s
Episode 062 avg. reward = -0.900, Long-term avg. reward = -0.847
..........AI : 4.425 s, Game : 1.559 s
Episode 063 avg. reward = -0.800, Long-term avg. reward = -0.846
..........AI : 4.377 s, Game : 1.480 s
Episode 064 avg. reward = -0.800, Long-term avg. reward = -0.846
..........AI : 7.424 s, Game : 2.641 s
Episode 065 avg. reward = -0.300, Long-term avg. reward = -0.840
..........AI : 6.064 s, Game : 1.998 s
Episode 066 avg. reward = -0.500, Long-term avg. reward = -0.837
..........AI : 7.214 s, Game : 2.572 s
Episode 067 avg. reward = -0.400, Long-term avg. reward = -0.832
..........AI : 5.696 s, Game : 1.978 s
Episode 068 avg. reward = -0.700, Long-term avg. reward = -0.831
..........AI : 4.830 s, Game : 1.663 s
Episode 069 avg. reward = -0.700, Long-term avg. reward = -0.830
..........AI : 5.207 s, Game : 1.790 s
Episode 070 avg. reward = -0.700, Long-term avg. reward = -0.828
..........AI : 7.428 s, Game : 2.655 s
Episode 071 avg. reward = -0.500, Long-term avg. reward = -0.825
..........AI : 4.692 s, Game : 1.660 s
Episode 072 avg. reward = -0.900, Long-term avg. reward = -0.826
..........AI : 3.839 s, Game : 1.282 s
Episode 073 avg. reward = -1.000, Long-term avg. reward = -0.828
..........AI : 8.264 s, Game : 2.941 s
Episode 074 avg. reward = -0.300, Long-term avg. reward = -0.822
..........AI : 4.351 s, Game : 1.381 s
Episode 075 avg. reward = -0.600, Long-term avg. reward = -0.820
..........AI : 5.064 s, Game : 1.645 s
Episode 076 avg. reward = -0.700, Long-term avg. reward = -0.819
..........AI : 8.203 s, Game : 2.987 s
Episode 077 avg. reward = -0.300, Long-term avg. reward = -0.814
..........AI : 6.889 s, Game : 2.407 s
Episode 078 avg. reward = -0.500, Long-term avg. reward = -0.811
..........AI : 7.765 s, Game : 2.751 s
Episode 079 avg. reward = -0.400, Long-term avg. reward = -0.807
..........AI : 6.450 s, Game : 2.212 s
Episode 080 avg. reward = -0.500, Long-term avg. reward = -0.803
..........AI : 4.820 s, Game : 1.588 s
Episode 081 avg. reward = -0.700, Long-term avg. reward = -0.802
..........AI : 5.429 s, Game : 1.938 s
Episode 082 avg. reward = -0.700, Long-term avg. reward = -0.801
..........AI : 7.123 s, Game : 2.567 s
Episode 083 avg. reward = -0.500, Long-term avg. reward = -0.798
..........AI : 7.399 s, Game : 2.648 s
Episode 084 avg. reward = -0.300, Long-term avg. reward = -0.793
..........AI : 4.355 s, Game : 1.383 s
Episode 085 avg. reward = -0.800, Long-term avg. reward = -0.793
..........AI : 6.363 s, Game : 2.248 s
Episode 086 avg. reward = -0.500, Long-term avg. reward = -0.791
..........AI : 9.212 s, Game : 3.149 s
Episode 087 avg. reward = -0.100, Long-term avg. reward = -0.784
..........AI : 8.888 s, Game : 3.224 s
Episode 088 avg. reward = 0.000, Long-term avg. reward = -0.776
..........AI : 7.798 s, Game : 2.716 s
Episode 089 avg. reward = -0.300, Long-term avg. reward = -0.771
..........AI : 7.149 s, Game : 2.561 s
Episode 090 avg. reward = -0.300, Long-term avg. reward = -0.766
..........AI : 7.972 s, Game : 2.779 s
Episode 091 avg. reward = -0.400, Long-term avg. reward = -0.763
..........AI : 7.022 s, Game : 2.714 s
Episode 092 avg. reward = -0.500, Long-term avg. reward = -0.760
..........AI : 9.881 s, Game : 3.469 s
Episode 093 avg. reward = 0.100, Long-term avg. reward = -0.751
..........AI : 5.556 s, Game : 1.903 s
Episode 094 avg. reward = -0.600, Long-term avg. reward = -0.750
..........AI : 6.399 s, Game : 2.147 s
Episode 095 avg. reward = -0.400, Long-term avg. reward = -0.746
..........AI : 6.034 s, Game : 1.952 s
Episode 096 avg. reward = -0.400, Long-term avg. reward = -0.743
..........AI : 7.901 s, Game : 2.819 s
Episode 097 avg. reward = -0.300, Long-term avg. reward = -0.739
..........AI : 7.799 s, Game : 2.801 s
Episode 098 avg. reward = -0.400, Long-term avg. reward = -0.735
..........AI : 8.097 s, Game : 3.035 s
Episode 099 avg. reward = 0.000, Long-term avg. reward = -0.728
..........AI : 5.440 s, Game : 1.825 s
Episode 100 avg. reward = -0.800, Long-term avg. reward = -0.729
..........AI : 7.926 s, Game : 2.887 s
Episode 101 avg. reward = -0.300, Long-term avg. reward = -0.724
..........AI : 11.262 s, Game : 4.305 s
Episode 102 avg. reward = 0.100, Long-term avg. reward = -0.716
..........AI : 9.306 s, Game : 3.373 s
Episode 103 avg. reward = 0.000, Long-term avg. reward = -0.709
..........AI : 5.896 s, Game : 2.014 s
Episode 104 avg. reward = -0.500, Long-term avg. reward = -0.707
..........AI : 6.563 s, Game : 2.359 s
Episode 105 avg. reward = -0.600, Long-term avg. reward = -0.706
..........AI : 5.697 s, Game : 1.897 s
Episode 106 avg. reward = -0.700, Long-term avg. reward = -0.706
..........AI : 8.026 s, Game : 2.873 s
Episode 107 avg. reward = -0.400, Long-term avg. reward = -0.703
..........AI : 9.246 s, Game : 3.422 s
Episode 108 avg. reward = 0.000, Long-term avg. reward = -0.696
..........AI : 7.942 s, Game : 2.837 s
Episode 109 avg. reward = -0.200, Long-term avg. reward = -0.691
..........AI : 7.823 s, Game : 2.784 s
Episode 110 avg. reward = -0.200, Long-term avg. reward = -0.686
..........AI : 8.080 s, Game : 2.775 s
Episode 111 avg. reward = -0.200, Long-term avg. reward = -0.681
..........AI : 5.706 s, Game : 1.990 s
Episode 112 avg. reward = -0.600, Long-term avg. reward = -0.680
..........AI : 7.334 s, Game : 2.503 s
Episode 113 avg. reward = 0.000, Long-term avg. reward = -0.673
..........AI : 7.988 s, Game : 3.069 s
Episode 114 avg. reward = -0.500, Long-term avg. reward = -0.671
..........AI : 8.772 s, Game : 3.319 s
Episode 115 avg. reward = -0.100, Long-term avg. reward = -0.666
..........AI : 6.807 s, Game : 2.411 s
Episode 116 avg. reward = -0.400, Long-term avg. reward = -0.663
..........AI : 8.188 s, Game : 2.719 s
Episode 117 avg. reward = -0.100, Long-term avg. reward = -0.657
..........AI : 7.019 s, Game : 2.596 s
Episode 118 avg. reward = -0.400, Long-term avg. reward = -0.655
..........AI : 9.267 s, Game : 3.461 s
Episode 119 avg. reward = -0.200, Long-term avg. reward = -0.650
..........AI : 9.940 s, Game : 3.480 s
Episode 120 avg. reward = 0.200, Long-term avg. reward = -0.642
..........AI : 11.557 s, Game : 4.086 s
Episode 121 avg. reward = 0.200, Long-term avg. reward = -0.633
..........AI : 12.372 s, Game : 4.484 s
Episode 122 avg. reward = 0.600, Long-term avg. reward = -0.621
..........AI : 8.833 s, Game : 3.225 s
Episode 123 avg. reward = 0.200, Long-term avg. reward = -0.613
..........AI : 6.592 s, Game : 2.113 s
Episode 124 avg. reward = -0.200, Long-term avg. reward = -0.609
..........AI : 8.391 s, Game : 2.987 s
Episode 125 avg. reward = -0.200, Long-term avg. reward = -0.605
..........AI : 5.916 s, Game : 2.124 s
Episode 126 avg. reward = -0.600, Long-term avg. reward = -0.605
..........AI : 11.100 s, Game : 4.337 s
Episode 127 avg. reward = 0.200, Long-term avg. reward = -0.597
..........AI : 8.308 s, Game : 2.978 s
Episode 128 avg. reward = -0.100, Long-term avg. reward = -0.592
..........AI : 7.507 s, Game : 2.808 s
Episode 129 avg. reward = -0.400, Long-term avg. reward = -0.590
..........AI : 4.916 s, Game : 1.642 s
Episode 130 avg. reward = -0.700, Long-term avg. reward = -0.591
..........AI : 6.032 s, Game : 2.055 s
Episode 131 avg. reward = -0.500, Long-term avg. reward = -0.590
..........AI : 9.972 s, Game : 3.644 s
Episode 132 avg. reward = 0.300, Long-term avg. reward = -0.581
..........AI : 6.124 s, Game : 2.157 s
Episode 133 avg. reward = -0.600, Long-term avg. reward = -0.581
..........AI : 8.773 s, Game : 2.986 s
Episode 134 avg. reward = 0.000, Long-term avg. reward = -0.575
..........AI : 6.785 s, Game : 2.392 s
Episode 135 avg. reward = -0.500, Long-term avg. reward = -0.575
..........AI : 12.349 s, Game : 4.522 s
Episode 136 avg. reward = 0.400, Long-term avg. reward = -0.565
..........AI : 10.695 s, Game : 3.771 s
Episode 137 avg. reward = 0.200, Long-term avg. reward = -0.557
..........AI : 6.899 s, Game : 2.386 s
Episode 138 avg. reward = -0.400, Long-term avg. reward = -0.556
..........AI : 7.811 s, Game : 2.822 s
Episode 139 avg. reward = -0.300, Long-term avg. reward = -0.553
..........AI : 6.878 s, Game : 2.351 s
Episode 140 avg. reward = -0.400, Long-term avg. reward = -0.552
..........AI : 10.550 s, Game : 3.837 s
Episode 141 avg. reward = 0.200, Long-term avg. reward = -0.544
..........AI : 8.204 s, Game : 2.772 s
Episode 142 avg. reward = -0.200, Long-term avg. reward = -0.541
..........AI : 14.517 s, Game : 5.223 s
Episode 143 avg. reward = 0.700, Long-term avg. reward = -0.528
..........AI : 12.699 s, Game : 4.490 s
Episode 144 avg. reward = 0.600, Long-term avg. reward = -0.517
..........AI : 9.173 s, Game : 3.067 s
Episode 145 avg. reward = 0.100, Long-term avg. reward = -0.511
..........AI : 9.508 s, Game : 3.354 s
Episode 146 avg. reward = 0.100, Long-term avg. reward = -0.505
..........AI : 12.107 s, Game : 4.287 s
Episode 147 avg. reward = 0.600, Long-term avg. reward = -0.494
..........AI : 5.566 s, Game : 1.850 s
Episode 148 avg. reward = -0.500, Long-term avg. reward = -0.494
..........AI : 7.261 s, Game : 2.694 s
Episode 149 avg. reward = -0.400, Long-term avg. reward = -0.493
..........AI : 9.777 s, Game : 3.343 s
Episode 150 avg. reward = 0.100, Long-term avg. reward = -0.487
..........AI : 9.803 s, Game : 3.537 s
Episode 151 avg. reward = -0.100, Long-term avg. reward = -0.483
..........AI : 9.228 s, Game : 3.211 s
Episode 152 avg. reward = 0.100, Long-term avg. reward = -0.477
..........AI : 9.918 s, Game : 3.467 s
Episode 153 avg. reward = 0.300, Long-term avg. reward = -0.469
..........AI : 10.497 s, Game : 3.764 s
Episode 154 avg. reward = 0.100, Long-term avg. reward = -0.464
..........AI : 12.431 s, Game : 4.507 s
Episode 155 avg. reward = 0.400, Long-term avg. reward = -0.455
..........AI : 6.541 s, Game : 2.237 s
Episode 156 avg. reward = -0.400, Long-term avg. reward = -0.454
..........AI : 7.713 s, Game : 2.667 s
Episode 157 avg. reward = -0.300, Long-term avg. reward = -0.453
..........AI : 11.482 s, Game : 4.179 s
Episode 158 avg. reward = 0.300, Long-term avg. reward = -0.445
..........AI : 6.038 s, Game : 1.878 s
Episode 159 avg. reward = -0.400, Long-term avg. reward = -0.445
..........AI : 10.536 s, Game : 3.776 s
Episode 160 avg. reward = 0.100, Long-term avg. reward = -0.439
..........AI : 12.729 s, Game : 4.531 s
Episode 161 avg. reward = 0.700, Long-term avg. reward = -0.428
..........AI : 10.041 s, Game : 3.516 s
Episode 162 avg. reward = 0.100, Long-term avg. reward = -0.423
..........AI : 9.420 s, Game : 3.343 s
Episode 163 avg. reward = 0.100, Long-term avg. reward = -0.418
..........AI : 9.625 s, Game : 3.857 s
Episode 164 avg. reward = 0.100, Long-term avg. reward = -0.412
..........AI : 14.417 s, Game : 5.035 s
Episode 165 avg. reward = 1.000, Long-term avg. reward = -0.398
..........AI : 12.582 s, Game : 4.545 s
Episode 166 avg. reward = 0.700, Long-term avg. reward = -0.387
..........AI : 9.449 s, Game : 3.268 s
Episode 167 avg. reward = 0.100, Long-term avg. reward = -0.382
..........AI : 11.060 s, Game : 3.861 s
Episode 168 avg. reward = 0.500, Long-term avg. reward = -0.374
..........AI : 12.668 s, Game : 4.273 s
Episode 169 avg. reward = 0.900, Long-term avg. reward = -0.361
..........AI : 6.745 s, Game : 2.554 s
Episode 170 avg. reward = -0.600, Long-term avg. reward = -0.363
..........AI : 5.944 s, Game : 2.105 s
Episode 171 avg. reward = -0.700, Long-term avg. reward = -0.367
..........AI : 10.380 s, Game : 3.749 s
Episode 172 avg. reward = 0.300, Long-term avg. reward = -0.360
..........AI : 13.404 s, Game : 4.676 s
Episode 173 avg. reward = 0.700, Long-term avg. reward = -0.349
..........AI : 12.150 s, Game : 4.584 s
Episode 174 avg. reward = 0.500, Long-term avg. reward = -0.341
..........AI : 12.290 s, Game : 4.736 s
Episode 175 avg. reward = 0.300, Long-term avg. reward = -0.334
..........AI : 10.454 s, Game : 3.733 s
Episode 176 avg. reward = 0.500, Long-term avg. reward = -0.326
..........AI : 8.655 s, Game : 3.048 s
Episode 177 avg. reward = 0.000, Long-term avg. reward = -0.323
..........AI : 11.926 s, Game : 4.282 s
Episode 178 avg. reward = 0.700, Long-term avg. reward = -0.313
..........AI : 7.987 s, Game : 2.891 s
Episode 179 avg. reward = -0.200, Long-term avg. reward = -0.311
..........AI : 6.301 s, Game : 2.178 s
Episode 180 avg. reward = -0.400, Long-term avg. reward = -0.312
..........AI : 7.345 s, Game : 2.567 s
Episode 181 avg. reward = -0.300, Long-term avg. reward = -0.312
..........AI : 12.930 s, Game : 4.594 s
Episode 182 avg. reward = 0.600, Long-term avg. reward = -0.303
..........AI : 8.601 s, Game : 3.052 s
Episode 183 avg. reward = -0.200, Long-term avg. reward = -0.302
..........AI : 12.127 s, Game : 4.519 s
Episode 184 avg. reward = 0.300, Long-term avg. reward = -0.296
..........AI : 10.341 s, Game : 3.764 s
Episode 185 avg. reward = 0.200, Long-term avg. reward = -0.291
..........AI : 6.909 s, Game : 2.609 s
Episode 186 avg. reward = -0.600, Long-term avg. reward = -0.294
..........AI : 10.817 s, Game : 3.970 s
Episode 187 avg. reward = 0.400, Long-term avg. reward = -0.287
..........AI : 16.190 s, Game : 6.144 s
Episode 188 avg. reward = 1.300, Long-term avg. reward = -0.271
..........AI : 10.655 s, Game : 3.850 s
Episode 189 avg. reward = 0.200, Long-term avg. reward = -0.267
..........AI : 12.766 s, Game : 4.667 s
Episode 190 avg. reward = 0.500, Long-term avg. reward = -0.259
..........AI : 13.684 s, Game : 4.991 s
Episode 191 avg. reward = 0.800, Long-term avg. reward = -0.248
..........AI : 12.451 s, Game : 4.497 s
Episode 192 avg. reward = 0.400, Long-term avg. reward = -0.242
..........AI : 11.462 s, Game : 4.092 s
Episode 193 avg. reward = 0.500, Long-term avg. reward = -0.235
..........AI : 11.453 s, Game : 3.785 s
Episode 194 avg. reward = 0.600, Long-term avg. reward = -0.226
..........AI : 9.622 s, Game : 3.353 s
Episode 195 avg. reward = 0.000, Long-term avg. reward = -0.224
..........AI : 8.143 s, Game : 2.910 s
Episode 196 avg. reward = 0.000, Long-term avg. reward = -0.222
..........AI : 8.038 s, Game : 3.124 s
Episode 197 avg. reward = -0.400, Long-term avg. reward = -0.223
..........AI : 8.068 s, Game : 2.890 s
Episode 198 avg. reward = -0.200, Long-term avg. reward = -0.223
..........AI : 8.004 s, Game : 2.799 s
Episode 199 avg. reward = -0.100, Long-term avg. reward = -0.222
..........AI : 6.128 s, Game : 2.265 s
Episode 200 avg. reward = -0.700, Long-term avg. reward = -0.227
..........AI : 7.473 s, Game : 2.708 s
Episode 201 avg. reward = -0.500, Long-term avg. reward = -0.229
..........AI : 7.135 s, Game : 2.235 s
Episode 202 avg. reward = -0.200, Long-term avg. reward = -0.229
..........AI : 4.555 s, Game : 1.503 s
Episode 203 avg. reward = -0.700, Long-term avg. reward = -0.234
..........AI : 9.239 s, Game : 3.180 s
Episode 204 avg. reward = 0.000, Long-term avg. reward = -0.232
..........AI : 11.908 s, Game : 4.123 s
Episode 205 avg. reward = 0.500, Long-term avg. reward = -0.224
..........AI : 4.795 s, Game : 1.684 s
Episode 206 avg. reward = -0.700, Long-term avg. reward = -0.229
..........AI : 5.302 s, Game : 1.717 s
Episode 207 avg. reward = -0.500, Long-term avg. reward = -0.232
..........AI : 4.534 s, Game : 1.557 s
Episode 208 avg. reward = -0.700, Long-term avg. reward = -0.236
..........AI : 11.994 s, Game : 4.370 s
Episode 209 avg. reward = 0.500, Long-term avg. reward = -0.229
..........AI : 8.701 s, Game : 3.167 s
Episode 210 avg. reward = -0.400, Long-term avg. reward = -0.231
..........AI : 13.282 s, Game : 4.672 s
Episode 211 avg. reward = 0.900, Long-term avg. reward = -0.219
..........AI : 11.495 s, Game : 4.203 s
Episode 212 avg. reward = 0.400, Long-term avg. reward = -0.213
..........AI : 12.648 s, Game : 4.277 s
Episode 213 avg. reward = 0.800, Long-term avg. reward = -0.203
..........AI : 11.065 s, Game : 4.148 s
Episode 214 avg. reward = 0.200, Long-term avg. reward = -0.199
..........AI : 9.553 s, Game : 3.480 s
Episode 215 avg. reward = -0.100, Long-term avg. reward = -0.198
..........AI : 10.189 s, Game : 3.766 s
Episode 216 avg. reward = 0.100, Long-term avg. reward = -0.195
..........AI : 13.447 s, Game : 4.753 s
Episode 217 avg. reward = 0.600, Long-term avg. reward = -0.187
..........AI : 12.586 s, Game : 4.426 s
Episode 218 avg. reward = 0.600, Long-term avg. reward = -0.179
..........AI : 11.157 s, Game : 3.975 s
Episode 219 avg. reward = 0.300, Long-term avg. reward = -0.174
..........AI : 18.580 s, Game : 6.975 s
Episode 220 avg. reward = 1.400, Long-term avg. reward = -0.159
..........AI : 11.098 s, Game : 4.031 s
Episode 221 avg. reward = 0.200, Long-term avg. reward = -0.155
..........AI : 9.704 s, Game : 3.381 s
Episode 222 avg. reward = 0.100, Long-term avg. reward = -0.153
..........AI : 12.718 s, Game : 4.603 s
Episode 223 avg. reward = 0.400, Long-term avg. reward = -0.147
..........AI : 6.942 s, Game : 2.494 s
Episode 224 avg. reward = -0.400, Long-term avg. reward = -0.150
..........AI : 12.628 s, Game : 4.424 s
Episode 225 avg. reward = 0.800, Long-term avg. reward = -0.140
..........AI : 11.410 s, Game : 4.188 s
Episode 226 avg. reward = 0.300, Long-term avg. reward = -0.136
..........AI : 12.724 s, Game : 4.604 s
Episode 227 avg. reward = 0.500, Long-term avg. reward = -0.129
..........AI : 15.915 s, Game : 5.501 s
Episode 228 avg. reward = 1.200, Long-term avg. reward = -0.116
..........AI : 9.176 s, Game : 3.286 s
Episode 229 avg. reward = -0.100, Long-term avg. reward = -0.116
..........AI : 8.194 s, Game : 2.877 s
Episode 230 avg. reward = -0.200, Long-term avg. reward = -0.117
..........AI : 15.618 s, Game : 5.488 s
Episode 231 avg. reward = 1.600, Long-term avg. reward = -0.100
..........AI : 9.474 s, Game : 3.263 s
Episode 232 avg. reward = 0.100, Long-term avg. reward = -0.098
..........AI : 18.341 s, Game : 6.352 s
Episode 233 avg. reward = 1.900, Long-term avg. reward = -0.078
..........AI : 6.767 s, Game : 2.207 s
Episode 234 avg. reward = -0.300, Long-term avg. reward = -0.080
..........AI : 11.001 s, Game : 4.087 s
Episode 235 avg. reward = 0.100, Long-term avg. reward = -0.078
..........AI : 12.244 s, Game : 4.166 s
Episode 236 avg. reward = 0.500, Long-term avg. reward = -0.072
..........AI : 9.732 s, Game : 3.630 s
Episode 237 avg. reward = -0.200, Long-term avg. reward = -0.074
..........AI : 16.012 s, Game : 5.873 s
Episode 238 avg. reward = 1.100, Long-term avg. reward = -0.062
..........AI : 8.179 s, Game : 2.714 s
Episode 239 avg. reward = 0.000, Long-term avg. reward = -0.061
..........AI : 11.899 s, Game : 4.382 s
Episode 240 avg. reward = 0.400, Long-term avg. reward = -0.057
..........AI : 10.199 s, Game : 3.688 s
Episode 241 avg. reward = 0.400, Long-term avg. reward = -0.052
..........AI : 9.984 s, Game : 3.425 s
Episode 242 avg. reward = 0.100, Long-term avg. reward = -0.050
..........AI : 9.212 s, Game : 3.214 s
Episode 243 avg. reward = -0.100, Long-term avg. reward = -0.051
..........AI : 9.268 s, Game : 3.280 s
Episode 244 avg. reward = -0.200, Long-term avg. reward = -0.052
..........AI : 10.317 s, Game : 3.633 s
Episode 245 avg. reward = 0.100, Long-term avg. reward = -0.051
..........AI : 10.686 s, Game : 3.710 s
Episode 246 avg. reward = 0.200, Long-term avg. reward = -0.048
..........AI : 8.860 s, Game : 3.057 s
Episode 247 avg. reward = 0.000, Long-term avg. reward = -0.048
..........AI : 13.238 s, Game : 4.812 s
Episode 248 avg. reward = 0.700, Long-term avg. reward = -0.040
..........AI : 17.302 s, Game : 6.347 s
Episode 249 avg. reward = 1.500, Long-term avg. reward = -0.025
..........AI : 15.583 s, Game : 5.519 s
Episode 250 avg. reward = 1.100, Long-term avg. reward = -0.014
..........AI : 8.355 s, Game : 2.898 s
Episode 251 avg. reward = -0.100, Long-term avg. reward = -0.015
..........AI : 10.092 s, Game : 3.506 s
Episode 252 avg. reward = 0.200, Long-term avg. reward = -0.013
..........AI : 17.726 s, Game : 6.302 s
Episode 253 avg. reward = 1.700, Long-term avg. reward = 0.005
..........AI : 11.712 s, Game : 4.091 s
Episode 254 avg. reward = 0.700, Long-term avg. reward = 0.012
..........AI : 9.879 s, Game : 3.502 s
Episode 255 avg. reward = 0.100, Long-term avg. reward = 0.012
..........AI : 17.255 s, Game : 6.069 s
Episode 256 avg. reward = 1.700, Long-term avg. reward = 0.029
..........AI : 8.376 s, Game : 2.987 s
Episode 257 avg. reward = -0.100, Long-term avg. reward = 0.028
..........AI : 9.990 s, Game : 3.376 s
Episode 258 avg. reward = 0.400, Long-term avg. reward = 0.032
..........AI : 14.184 s, Game : 4.859 s
